ACP5	chr19	11685474	11689823
ADAMTSL2	chr9	136397285	136440641
AGPS	chr2	178257500	178408562
ALPL	chr1	21835850	21904905
ALX4	chr11	44281989	44331689
AMER1	chrX	63404996	63425588
ANKH	chr5	14704908	14871887
ANO5	chr11	22214721	22304913
AP2S1	chr19	47341414	47354252
ARSE	chrX	2852672	2886351
ATP6V0A2	chr12	124196899	124246301
ATR	chr3	142168076	142297668
B3GALT6	chr1	1167616	1170420
B4GALT7	chr5	177027132	177037331
BHLHA9	chr17	1173857	1174565
BMP1	chr8	22022652	22069839
BMP2	chr20	6748332	6760893
BMPER	chr7	33944526	34196039
BMPR1B	chr4	95679127	96079601
CA2	chr8	86376130	86393722
CANT1	chr17	76987797	77005899
CASR	chr3	121902529	122005344
CCDC8	chr19	46913585	46916821
CCNQ	chrX	152853382	152864632
CCN6	chr6	112375277	112390887
CDC6	chr17	38444130	38460909
CDKN1C	chr11	2904447	2906995
CDT1	chr16	88870196	88875666
CENPJ	chr13	25456411	25497027
CEP152	chr15	49030134	49103343
CEP63	chr3	134204565	134293855
CHST3	chr10	73724152	73773314
CLCN5	chrX	49687205	49863892
CLCN7	chr16	1494933	1525085
COL10A1	chr6	116440071	116447295
COL11A1	chr1	103342022	103574078
COL11A2	chr6_cox_hap2	4362691	33160245
COL1A1	chr17	48261456	48279000
COL1A2	chr7	94023872	94060544
COL2A1	chr12	48366747	48398285
COL9A1	chr6	70925742	71012786
COL9A2	chr1	40766160	40782958
COL9A3	chr20	61448401	61472511
COMP	chr19	18893582	18902114
CREBBP	chr16	3775055	3930121
CRTAP	chr3	33155449	33189265
CTSK	chr1	150768683	150780736
CUL7	chr6	43005354	43021683
CYP27B1	chr12	58156116	58160861
CYP2R1	chr11	14899555	14913751
DDR2	chr1	162601054	162757195
DHCR24	chr1	55315299	55352868
DHCR7	chr11	71145456	71159477
DLL3	chr19	39989556	39999121
DLX3	chr17	48067368	48072588
DMP1	chr4	88571453	88585512
DNA2	chr10	70173820	70231878
DYM	chr18	46567843	46987103
DYNC2H1	chr11	102980154	103350591
EBP	chrX	48380195	48387104
EFNB1	chrX	68048839	68062006
EIF2AK3	chr2	88856257	88927094
ENPP1	chr6	132129159	132216295
EP300	chr22	41488595	41576081
ERF	chr19	42751712	42759316
ESCO2	chr8	27632057	27662424
EVC	chr4	5712923	5816032
EVC2	chr4	5564145	5711275
FAM111A	chr11	58910218	58922511
FAM20C	chr7	192570	300738
FBLN1	chr22	45898718	45997015
FBN1	chr15	48700502	48937985
FGF10	chr5	44305096	44388784
FGF16	chrX	76709646	76712013
FGF23	chr12	4477392	4488894
