ABCA4	chr1	94458393	94586705
ABCC6	chr16	16243421	16317328
ABHD12	chr20	25275378	25371618
ACBD5	chr10	27484142	27529808
ADAM9	chr8	38854504	38962779
ADAMTS18	chr16	77316024	77469011
ADGRV1	chr5	89854616	90460033
ADIPOR1	chr1	202909952	202927524
AGBL5	chr2	27274490	27293490
AHI1	chr6	135605109	135818903
AIPL1	chr17	6327056	6338519
ALMS1	chr2	73612885	73837046
ARL2BP	chr16	57279037	57287545
ARL3	chr10	104433483	104474190
ARL6	chr3	97483364	97520086
ARMS2	chr10	124214178	124216868
ASRGL1	chr11	62104773	62160887
ATF6	chr1	161736033	161933860
ATXN7	chr3	63850232	63989136
BBIP1	chr10	112658487	112679124
BBS1	chr11	66278118	66301084
BBS10	chr12	76738265	76742222
BBS12	chr4	123653856	123666098
BBS2	chr16	56518258	56554008
BBS4	chr15	72978519	73030817
BBS5	chr2	170336005	170363165
BBS7	chr4	122745483	122791652
BBS9	chr7	33169151	33645680
BCOR	chrX	39910498	40036582
BEST1	chr11	61717355	61731935
C12orf65	chr12	123717843	123742506
C1QTNF5	chr11	119209643	119217383
C2	chr6	31895253	31913451
C21orf2	chr21	45748826	45759285
C2orf71	chr2	29284555	29297127
C3	chr19	6677845	6720693
C8orf37	chr8	96257140	96281462
CA4	chr17	58227296	58236906
CABP4	chr11	67222817	67229245
CACNA1F	chrX	49061522	49089833
CACNA2D4	chr12	1901122	2027870
CAPN5	chr11	76777991	76837198
CC2D2A	chr4	15471488	15603180
CDH23	chr10	73156690	73407219
CDH3	chr16	68678738	68732970
CDHR1	chr10	85954390	85979376
CEP164	chr11	117198570	117283982
CEP250	chr20	34043222	34099804
CEP290	chr12	88442789	88535993
CEP78	chr9	80850990	80881983
CERKL	chr2	182401400	182521834
CFB	chr6	31913720	31919861
CFH	chr1	196621007	196716634
CHM	chrX	85116184	85302569
CIB2	chr15	78396947	78423877
CLN3	chr16	28488599	28503403
CLRN1	chr3	150644353	150690786
CLUAP1	chr16	3550944	3589051
CNGA1	chr4	47937993	47983550
CNGA3	chr2	98962617	99015064
CNGB1	chr16	57916243	58005020
CNGB3	chr8	87586162	87755903
CNNM4	chr2	97426638	97477628
COL11A1	chr1	103342022	103574052
COL2A1	chr12	48366747	48398285
COL9A1	chr6	70925742	71012786
CRB1	chr1	197237333	197447585
CRX	chr19	48325096	48346586
CSPP1	chr8	67976602	68108849
CTNNA1	chr5	138089074	138270723
CWC27	chr5	64064744	64314590
CYP4V2	chr4	187112673	187134617
DHDDS	chr1	26758772	26797795
DHX38	chr16	72127614	72146811
DMD	chrX	31137344	33229673
DRAM2	chr1	111659953	111682838
DTHD1	chr4	36285643	36346407
EFEMP1	chr2	56093096	56151298
ELOVL4	chr6	80624528	80657315
EMC1	chr1	19542157	19578053
ERCC6	chr10	50662525	50747169
EXOSC2	chr9	133569146	133580281
EYS	chr6	64429875	66417118
FAM161A	chr2	62051982	62081278
FBLN5	chr14	92335754	92414046
FLVCR1	chr1	213031596	213072705
FSCN2	chr17	79495416	79504156
FZD4	chr11	86656716	86666440
GDF6	chr8	97154560	97173020
GNAT1	chr3	50229042	50235129
GNAT2	chr1	110145888	110155705
GNB3	chr12	6950017	6956559
GNPTG	chr16	1401899	1413352
GPR179	chr17	36481492	36499693
GRID2	chr4	93225549	94695706
GRK1	chr13	114321596	114438637
GRM6	chr5	178405329	178422124
GUCA1A	chr6	42123114	42147821
GUCA1B	chr6	42151021	42162694
GUCY2D	chr17	7905987	7923658
HARS	chr5	140053488	140071312
HGSNAT	chr8	42995591	43057970
HK1	chr10	71029755	71161637
HMCN1	chr1	185703682	186160085
HMX1	chr4	8868772	8873543
HTRA1	chr10	124221040	124274424
IDH3A	chr15	78441718	78462884
IDH3B	chr20	2639035	2644869
IFT140	chr16	1560427	1662109
IFT172	chr2	27667239	27712678
IFT27	chr22	37154245	37172177
IMPDH1	chr7	128032330	128050036
IMPG1	chr6	76630830	76782395
IMPG2	chr3	100941389	101039419
INPP5E	chr9	139323066	139334274
INVS	chr9	102861466	103064457
IQCB1	chr3	121488607	121553926
IRX5	chr16	54965110	54968395
IRX6	chr16	55358470	55364672
ITM2B	chr13	48807273	48836232
JAG1	chr20	10618331	10654694
KCNJ13	chr2	233630511	233641275
KCNV2	chr9	2717525	2730037
KIAA1549	chr7	138516126	138666064
KIF11	chr10	94352824	94415152
KIZ	chr20	21106623	21227258
KLHL7	chr7	23145352	23215038
LAMA1	chr18	6941742	7117813
LAMB2	chr3	49158546	49170599
LCA5	chr6	80194707	80247147
LCA5L	chr21	40777769	40816128
LRAT	chr4	155665122	155674271
LRIT3	chr4	110769339	110793471
LRP5	chr11	68080076	68216743
LZTFL1	chr3	45864809	45957216
MAK	chr6	10762955	10831110
MAP7D2	chrX	20024830	20135114
MAPKAPK3	chr3	50649292	50686728
MERTK	chr2	112656190	112786945
MFN2	chr1	12040237	12073572
MFRP	chr11	119209643	119217383
MFSD8	chr4	128838959	128887139
MIR204	chr9	73424890	73425000
MIR211	chr15	31357234	31357344
MKKS	chr20	10385427	10414887
MKS1	chr17	56282796	56296666
MTTP	chr4	100485234	100545154
MVK	chr12	110011499	110035075
MYO7A	chr11	76839309	76926286
NBAS	chr2	15307031	15701472
NDP	chrX	43808023	43832921
NEK2	chr1	211836113	211848972
NEUROD1	chr2	182540832	182545392
NMNAT1	chr1	10003485	10045556
NPHP1	chr2	110880913	110962639
NPHP3	chr3	132399452	132441303
NPHP4	chr1	5922867	6052533
NR2E3	chr15	72102887	72110597
NR2F1	chr5	92919042	92930315
NRL	chr14	24549315	24553832
NYX	chrX	41306712	41334905
OAT	chr10	126085871	126107545
OFD1	chrX	13752831	13787480
OPA1	chr3	193310932	193415600
OPA3	chr19	46031024	46088122
OPN1LW	chrX	153409697	153424507
OPN1MW	chrX	153485202	153499470
OPN1SW	chr7	128412542	128415844
OR2W3	chr1	248058888	248059833
OTX2	chr14	57267424	57272381
PANK2	chr20	3869580	3910529
PAX2	chr10	102505467	102589698
PCDH15	chr10	55580859	56561051
PCYT1A	chr3	195964615	196014623
PDE6A	chr5	149237518	149324356
PDE6B	chr4	619362	664681
PDE6C	chr10	95372344	95425429
PDE6G	chr17	79617488	79623607
PDE6H	chr12	15125955	15134799
PDZD7	chr10	102777088	102790914
PEX1	chr7	92116336	92157845
PEX2	chr8	77892493	77912524
PEX7	chr6	137143701	137235072
PGK1	chrX	77359665	77382324
PHYH	chr10	13319795	13342130
PITPNM3	chr17	6354582	6459877
PLA2G5	chr1	20396700	20418394
PLK4	chr4	128802015	128820377
PNPLA6	chr19	7599037	7626653
POC1B	chr12	89813497	89920039
POMGNT1	chr1	46654352	46685977
PRCD	chr17	74536120	74541458
PRDM13	chr6	100054649	100063454
PROM1	chr4	15969848	16077741
PRPF3	chr1	150293927	150325704
PRPF31	chr19	54618789	54635150
PRPF4	chr9	116037913	116055185
PRPF6	chr20	62612430	62664453
PRPF8	chr17	1553922	1588176
PRPH2	chr6	42664332	42690358
PRPS1	chrX	106871653	106894256
RAB28	chr4	13369346	13485989
RAX2	chr19	3769088	3772219
RBP3	chr10	48381486	48390991
RBP4	chr10	95351592	95360993
RCBTB1	chr13	50106081	50159719
RD3	chr1	211649863	211666259
RDH11	chr14	68143518	68162510
RDH12	chr14	68168602	68201168
RDH5	chr12	56114150	56118526
RGR	chr10	86004808	86018944
RGS9	chr17	63133455	63223821
RGS9BP	chr19	33166312	33169206
RHO	chr3	129247481	129254187
RIMS1	chr6	72596405	73112845
RLBP1	chr15	89753097	89764922
ROM1	chr11	62380212	62382592
RP1	chr8	55528626	55543394
RP1L1	chr8	10463859	10512617
RP2	chrX	46696346	46741791
RP9	chr7	33134409	33149002
RPE65	chr1	68894506	68915642
RPGR	chrX	38128422	38186788
RPGRIP1	chr14	21756135	21819460
RPGRIP1L	chr16	53633150	53737850
